category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
TV (Non-English),1,11620000,AlRawabi School for Girls: Limited Series,6,AlRawabi School for Girls,2022-01-04,2021-08-15
TV (English),2,37910000,Turning Point: 9/11 and the War on Terror: Season 1,3,Turning Point: 9/11 and the War on Terror,2022-01-04,2021-09-12
Films (Non-English),2,26030000,null,1,Restless,2022-03-09,2022-03-06
Films (English),4,12910000,null,6,The Christmas Chronicles,2022-01-04,2021-12-26
Films (Non-English),1,8960000,null,4,Love Tactics,2022-02-15,2022-02-13
TV (Non-English),8,7550000,The Cook of Castamar: Season 1,9,The Cook of Castamar,2022-01-04,2021-08-29
Films (Non-English),1,3310000,null,9,Compadres,2022-03-01,2022-02-27
Films (Non-English),1,1270000,null,10,Last Summer,2022-01-04,2021-07-11
TV (Non-English),3,34600000,The Five Juanas: Season 1,3,The Five Juanas,2022-01-04,2021-10-24
TV (English),1,43970000,All American: Season 3,2,All American,2022-01-04,2021-08-01
TV (Non-English),1,9190000,Katla: Season 1,9,Katla,2022-01-04,2021-07-04
Films (Non-English),2,1710000,null,8,Xtreme,2022-01-04,2021-07-11
TV (Non-English),9,9010000,null,8,Carrossel,2022-01-04,2021-09-05
Films (Non-English),3,8690000,null,1,How I Fell in Love with a Gangster,2022-01-25,2022-01-23
TV (Non-English),1,38720000,Elite: Season 4,1,Elite,2022-01-04,2021-07-04
TV (Non-English),2,17460000,The Girl from Oslo: Season 1,7,The Girl from Oslo,2022-01-04,2022-01-02
TV (Non-English),2,43760000,Dark Desire: Season 2,3,Dark Desire,2022-02-15,2022-02-13
TV (Non-English),6,10640000,null,7,Carrossel,2022-01-04,2021-08-15
Films (Non-English),1,2740000,null,7,Beauty and the Beast,2022-01-04,2021-10-03
Films (English),2,28570000,null,2,Brazen,2022-01-25,2022-01-23
TV (English),1,34000000,Maya and the Three: Limited Series,5,Maya and the Three,2022-01-04,2021-10-31
Films (English),2,4520000,null,7,Going in Style,2022-01-04,2021-10-24
TV (Non-English),2,51570000,The Cook of Castamar: Season 1,1,The Cook of Castamar,2022-01-04,2021-07-18
Films (Non-English),1,9690000,null,2,7 Prisoners,2022-01-04,2021-11-14
TV (English),5,13860000,Outer Banks: Season 1,5,Outer Banks,2022-01-04,2021-08-29
TV (English),2,166520000,Maid: Limited Series,1,Maid,2022-01-04,2021-10-10
Films (Non-English),2,4820000,null,5,Dhamaka,2022-01-04,2021-11-28
TV (Non-English),6,32890000,Hometown Cha-Cha-Cha: Season 1,3,Hometown Cha-Cha-Cha,2022-01-04,2021-10-10
TV (Non-English),7,189920000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-12-05
Films (Non-English),3,2800000,null,8,Anonymously Yours,2022-01-04,2021-12-26
Films (Non-English),2,4690000,null,3,Perfect Strangers,2022-02-01,2022-01-30
TV (Non-English),2,14360000,The War Next-door: Season 1,3,The War Next-door,2022-01-04,2021-07-18
Films (English),3,34450000,null,1,The Tinder Swindler,2022-02-22,2022-02-20
TV (Non-English),7,16030000,Our Beloved Summer: Season 1,6,Our Beloved Summer,2022-02-08,2022-02-06
TV (English),3,53600000,Love Is Blind: Season 2,3,Love Is Blind,2022-03-01,2022-02-27
TV (English),3,18420000,Sex Education: Season 1,6,Sex Education,2022-01-04,2021-10-03
Films (Non-English),1,2080000,null,10,Prime Time,2022-01-04,2021-07-04
TV (English),4,23840000,Cobra Kai: Season 4,6,Cobra Kai,2022-01-25,2022-01-23
TV (English),3,32050000,Dynasty: Season 4,4,Dynasty,2022-01-04,2021-11-07
Films (Non-English),4,2620000,null,10,Haseen Dillruba,2022-01-04,2021-07-25
TV (English),1,33120000,You: Season 2,5,You,2022-01-04,2021-10-24
TV (English),2,12180000,Gabby's Dollhouse: Season 2,7,Gabby's Dollhouse,2022-01-04,2021-08-22
TV (Non-English),6,8570000,"Nevertheless,: Season 1",10,"Nevertheless,",2022-01-04,2021-10-10
TV (Non-English),1,23230000,Café con aroma de mujer: Season 1,5,Café con aroma de mujer,2022-01-04,2022-01-02
TV (Non-English),11,10350000,"Newly Rich, Newly Poor: Season 1",9,"Newly Rich, Newly Poor",2022-01-04,2021-09-12
TV (Non-English),4,12730000,null,7,Carrossel,2022-01-04,2021-08-01
TV (English),1,47380000,Lost in Space: Season 3,1,Lost in Space,2022-01-04,2021-12-05
Films (English),9,11090000,null,6,Red Notice,2022-01-11,2022-01-09
Films (Non-English),1,10710000,null,3,Into the Wind,2022-02-15,2022-02-13
TV (English),1,62150000,Too Hot to Handle: Season 2,2,Too Hot to Handle,2022-01-04,2021-07-04
TV (Non-English),1,20970000,Lupin: Part 2,4,Lupin,2022-01-04,2021-07-04
Films (English),8,14540000,null,5,Red Notice,2022-01-04,2022-01-02
TV (English),1,53680000,PIECES OF HER: Season 1,3,PIECES OF HER,2022-03-09,2022-03-06
TV (English),3,14810000,Manifest: Season 2,9,Manifest,2022-01-18,2022-01-16
TV (Non-English),2,13150000,Lupin: Part 2,5,Lupin,2022-01-04,2021-07-11
TV (Non-English),1,16830000,Undercover: Season 3,6,Undercover,2022-01-18,2022-01-16
TV (English),2,23060000,Queer Eye: Season 6,8,Queer Eye,2022-01-11,2022-01-09
Films (Non-English),1,2100000,null,10,Bordertown: Mural Murders,2022-01-04,2021-12-05
TV (English),5,33720000,You: Season 3,3,You,2022-01-04,2021-11-14
Films (English),1,13040000,null,5,Shrek 2,2022-03-09,2022-03-06
Films (Non-English),4,1440000,null,9,Out of my league,2022-01-04,2021-09-12
TV (Non-English),9,18120000,The King's Affection: Season 1,3,The King's Affection,2022-01-04,2021-12-19
TV (Non-English),1,22230000,The Silent Sea: Season 1,3,The Silent Sea,2022-01-04,2021-12-26
Films (English),1,8470000,null,8,Tides,2022-01-18,2022-01-16
TV (English),11,12540000,Maid: Limited Series,8,Maid,2022-01-04,2021-12-12
TV (Non-English),2,13720000,Twenty Five Twenty One: Season 1,5,Twenty Five Twenty One,2022-03-09,2022-03-06
Films (English),4,4190000,null,10,Venom,2022-01-04,2021-10-31
TV (English),3,32250000,Locke & Key: Season 2,3,Locke & Key,2022-01-04,2021-11-07
Films (English),3,6850000,null,6,The Last Letter From Your Lover,2022-01-04,2021-08-08
TV (Non-English),1,7500000,Biohackers: Season 2,10,Biohackers,2022-01-04,2021-07-18
TV (Non-English),5,258840000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-10-17
Films (Non-English),1,9090000,null,3,A Classic Horror Story,2022-01-04,2021-07-18
Films (Non-English),1,1800000,null,8,Fierce,2022-01-04,2021-11-14
TV (Non-English),3,9730000,The War Next-door: Season 1,5,The War Next-door,2022-01-04,2021-07-25
Films (Non-English),1,3200000,null,8,Deep,2022-01-04,2021-07-25
Films (English),1,111030000,null,1,Don't Look Up,2022-01-04,2021-12-26
Films (English),1,20870000,null,4,A Castle For Christmas,2022-01-04,2021-11-28
TV (English),3,11150000,Manifest: Season 3,10,Manifest,2022-01-04,2021-09-12
TV (English),2,12990000,The 100: Season 7,6,The 100,2022-01-04,2021-09-12
TV (Non-English),9,24210000,The Queen of Flow: Season 2,2,The Queen of Flow,2022-01-18,2022-01-16
Films (English),1,10380000,null,8,Death to 2021,2022-01-04,2022-01-02
TV (English),1,80560000,Vikings: Valhalla: Season 1,2,Vikings: Valhalla,2022-03-01,2022-02-27
Films (Non-English),1,1130000,null,9,I Don't Know Whether to Slit My Wrists or Leave Them Long,2022-01-04,2021-09-05
Films (Non-English),2,5880000,null,4,Love Me Instead,2022-01-04,2021-11-28
Films (English),6,12710000,null,4,Red Notice,2022-01-04,2021-12-19
TV (English),5,20790000,Outer Banks: Season 2,2,Outer Banks,2022-01-04,2021-08-29
Films (Non-English),1,3390000,null,5,The Trip,2022-01-04,2021-10-17
TV (Non-English),10,30410000,Squid Game: Season 1,3,Squid Game,2022-01-04,2021-11-21
TV (Non-English),1,8220000,Open Your Eyes: Season 1,8,Open Your Eyes,2022-01-04,2021-08-29
Films (Non-English),5,4520000,null,4,Blood Red Sky,2022-01-04,2021-08-22
TV (English),2,60480000,The Woman in the House Across the Street from the Girl in the Window: Season 1,1,The Woman in the House Across the Street from the Girl in the Window,2022-02-08,2022-02-06
Films (Non-English),2,4640000,null,3,The Wasteland,2022-01-18,2022-01-16
TV (English),6,12910000,Outer Banks: Season 2,6,Outer Banks,2022-01-04,2021-09-05
TV (English),4,57340000,The Witcher: Season 2,3,The Witcher,2022-01-11,2022-01-09
Films (English),2,8950000,null,6,Despicable Me,2022-02-15,2022-02-13
Films (Non-English),1,19810000,null,1,Restless,2022-03-01,2022-02-27
TV (Non-English),3,12700000,Toy Boy: Season 2,6,Toy Boy,2022-03-01,2022-02-27
TV (Non-English),1,201910000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-09-05
Films (English),2,5210000,null,10,The Marksman,2022-01-04,2021-09-26
TV (English),7,30160000,Manifest: Season 1,5,Manifest,2022-01-11,2022-01-09
TV (English),1,24050000,Turning Point: 9/11 and the War on Terror: Season 1,3,Turning Point: 9/11 and the War on Terror,2022-01-04,2021-09-05
Films (Non-English),2,1790000,null,9,Beauty and the Beast,2022-01-04,2021-10-10
TV (Non-English),2,7200000,"Yo soy Betty, la fea: Season 1",9,"Yo soy Betty, la fea",2022-01-04,2021-09-05
Films (English),1,31560000,null,1,A Madea Homecoming,2022-03-01,2022-02-27
Films (English),2,5350000,null,9,A Dog's Journey,2022-01-04,2021-10-31
Films (English),2,16910000,null,4,Army of the Dead,2022-01-04,2021-11-07
Films (Non-English),2,9570000,null,2,7 Prisoners,2022-01-04,2021-11-21
TV (Non-English),12,18770000,Money Heist: Part 5,6,Money Heist,2022-01-11,2022-01-09
TV (Non-English),3,11490000,Money Heist: Part 3,8,Money Heist,2022-01-04,2021-09-19
Films (Non-English),4,7760000,null,3,Through My Window,2022-03-01,2022-02-27
Films (Non-English),1,3170000,null,6,A Perfect Fit,2022-01-04,2021-07-18
Films (Non-English),2,2930000,null,9,Tô Ryca,2022-01-04,2021-07-25
TV (English),1,20280000,Ozark: Season 3,9,Ozark,2022-02-01,2022-01-30
TV (Non-English),7,16360000,The King's Affection: Season 1,6,The King's Affection,2022-01-04,2021-12-05
Films (Non-English),2,1880000,null,7,Love of My Loves,2022-01-04,2021-09-19
Films (Non-English),1,5020000,null,9,Two,2022-01-04,2021-12-12
Films (Non-English),1,1830000,null,5,Flu,2022-01-04,2021-09-05
Films (Non-English),3,3130000,null,8,A Perfect Fit,2022-01-04,2021-08-01
TV (Non-English),10,16010000,Hometown Cha-Cha-Cha: Season 1,3,Hometown Cha-Cha-Cha,2022-01-04,2021-11-07
TV (English),1,75940000,Lucifer: Season 6,1,Lucifer,2022-01-04,2021-09-12
TV (Non-English),1,12980000,Sky Rojo: Season 2,3,Sky Rojo,2022-01-04,2021-07-25
TV (Non-English),2,24990000,"Newly Rich, Newly Poor: Season 1",1,"Newly Rich, Newly Poor",2022-01-04,2021-07-11
Films (Non-English),1,2450000,null,6,Rogue City,2022-01-25,2022-01-23
TV (English),2,35820000,Lost in Space: Season 3,1,Lost in Space,2022-01-04,2021-12-12
TV (Non-English),4,8680000,Money Heist: Part 4,9,Money Heist,2022-01-04,2021-09-26
TV (Non-English),7,9860000,null,7,Carrossel,2022-01-04,2021-08-22
Films (English),2,12550000,null,3,Twilight,2022-01-04,2021-07-25
TV (English),2,15850000,The Circle: Season 3,7,The Circle,2022-01-04,2021-09-26
TV (English),1,21320000,The Sinner: Season 4: Percy,8,The Sinner,2022-02-01,2022-01-30
TV (English),1,20620000,Atypical: Season 4,6,Atypical,2022-01-04,2021-07-11
Films (Non-English),1,1590000,null,8,Monk Comes Down the Mountain,2022-01-04,2021-11-07
Films (Non-English),4,2500000,null,9,The Claus Family,2022-01-04,2021-11-28
TV (English),10,15800000,Maid: Limited Series,8,Maid,2022-01-04,2021-12-05
Films (English),1,7000000,null,10,The Clovehitch Killer,2022-01-18,2022-01-16
TV (Non-English),3,22220000,Alice in Borderland: Season 1,5,Alice in Borderland,2022-01-04,2021-10-10
TV (Non-English),1,25430000,Control Z: Season 2,2,Control Z,2022-01-04,2021-08-08
Films (English),1,16620000,null,2,Fear Street Part 1: 1994,2022-01-04,2021-07-04
TV (Non-English),2,15660000,Sky Rojo: Season 2,4,Sky Rojo,2022-01-04,2021-08-01
Films (Non-English),1,3230000,null,5,Der Fall Collini,2022-01-04,2021-11-07
Films (Non-English),1,3120000,null,5,Thalaivii,2022-01-04,2021-10-03
Films (English),7,6930000,null,7,Don't Look Up,2022-02-08,2022-02-06
Films (English),4,25400000,null,3,Red Notice,2022-01-04,2021-12-05
TV (English),2,31750000,Good Girls: Season 4,4,Good Girls,2022-01-04,2021-09-12
Films (English),2,21740000,null,3,Tall Girl 2,2022-02-22,2022-02-20
Films (Non-English),1,14830000,null,1,The Father Who Moves Mountains,2022-01-04,2021-09-19
Films (English),1,13320000,null,8,Extinct,2022-01-04,2021-11-28
TV (English),4,20940000,Midnight Mass: Limited Series,6,Midnight Mass,2022-01-04,2021-10-17
TV (Non-English),5,82750000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-02-01,2022-01-30
Films (English),1,9030000,null,8,How to Train Your Dragon: The Hidden World,2022-01-04,2021-07-11
Films (Non-English),6,1940000,null,9,The Forgotten Battle,2022-01-04,2021-11-21
Films (English),1,35650000,null,3,SAS: Rise of the Black Swan,2022-01-04,2021-08-29
Films (English),1,6370000,null,10,Faster,2022-02-08,2022-02-06
Films (English),2,5030000,null,10,The Twilight Saga: New Moon,2022-01-04,2021-08-01
TV (English),2,91180000,Stay Close: Limited Series,2,Stay Close,2022-01-11,2022-01-09
TV (Non-English),8,12080000,"Newly Rich, Newly Poor: Season 1",5,"Newly Rich, Newly Poor",2022-01-04,2021-08-22
TV (Non-English),2,12510000,Elize Matsunaga: Once Upon a Crime: Season 1,5,Elize Matsunaga: Once Upon a Crime,2022-01-04,2021-07-18
Films (Non-English),1,1530000,null,10,Doctor (Tamil),2022-01-04,2021-11-07
Films (Non-English),5,1410000,null,7,Friendzone,2022-01-04,2021-10-31
TV (Non-English),6,14510000,"Newly Rich, Newly Poor: Season 1",4,"Newly Rich, Newly Poor",2022-01-04,2021-08-08
Films (Non-English),1,1170000,null,9,Budapest,2022-01-04,2021-10-31
TV (Non-English),1,18880000,"Devotion, a Story of Love and Desire: Season 1",6,"Devotion, a Story of Love and Desire",2022-02-22,2022-02-20
Films (Non-English),2,2420000,null,7,Last Summer,2022-01-04,2021-07-18
Films (Non-English),2,4070000,null,2,The Seven Deadly Sins: Cursed by Light,2022-01-04,2021-10-10
Films (English),1,10320000,null,5,The Twilight Saga: New Moon,2022-01-04,2021-07-25
TV (Non-English),2,26280000,Alice in Borderland: Season 1,5,Alice in Borderland,2022-01-04,2021-10-03
Films (Non-English),4,3660000,null,5,Love Tactics,2022-03-09,2022-03-06
Films (Non-English),2,8000000,null,4,A Perfect Fit,2022-01-04,2021-07-25
Films (Non-English),2,7210000,null,1,Friendzone,2022-01-04,2021-10-10
Films (Non-English),4,2970000,null,6,The Whole Truth,2022-01-04,2021-12-26
Films (Non-English),1,9630000,null,1,Just Short of Perfect,2022-01-04,2021-11-21
Films (Non-English),6,1330000,null,7,Rurouni Kenshin: The Beginning,2022-01-04,2021-09-05
TV (English),5,11780000,Sweet Magnolias: Season 2,9,Sweet Magnolias,2022-03-09,2022-03-06
TV (English),4,16220000,Manifest: Season 1,6,Manifest,2022-01-04,2021-07-25
Films (English),1,5430000,null,10,Spider-Man,2022-01-04,2022-01-02
TV (Non-English),1,30630000,I Am Georgina: Season 1,3,I Am Georgina,2022-02-01,2022-01-30
Films (English),4,9750000,null,5,Despicable Me 2,2022-03-01,2022-02-27
Films (Non-English),1,2140000,null,8,Je Suis Karl,2022-01-04,2021-10-03
Films (Non-English),2,1050000,null,8,Pinkfong & Baby Shark's Space Adventure,2022-01-04,2021-09-26
Films (English),1,16060000,null,2,Fear Street Part 2: 1978,2022-01-04,2021-07-11
TV (Non-English),7,90100000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-10-31
TV (English),1,14350000,null,8,Dave Chappelle: The Closer,2022-01-04,2021-10-10
Films (English),1,8930000,null,6,In Time,2022-01-04,2021-09-12
Films (English),4,17720000,null,4,Back to the Outback,2022-01-04,2022-01-02
TV (Non-English),5,15800000,The Cook of Castamar: Season 1,3,The Cook of Castamar,2022-01-04,2021-08-08
Films (Non-English),2,16120000,null,1,The Father Who Moves Mountains,2022-01-04,2021-09-26
Films (English),2,12830000,null,3,Fatherhood,2022-01-04,2021-07-11
TV (English),2,17420000,Jurassic World Camp Cretaceous: Season 4,4,Jurassic World Camp Cretaceous,2022-01-04,2021-12-12
TV (English),6,10320000,Manifest: Season 1,8,Manifest,2022-01-04,2021-09-05
TV (English),1,21240000,Inside Job: Part 1,9,Inside Job,2022-01-04,2021-10-31
Films (Non-English),1,18720000,null,2,My Best Friend Anne Frank,2022-02-08,2022-02-06
Films (Non-English),2,6920000,null,6,Green Snake,2022-01-04,2021-12-12
TV (Non-English),2,69030000,The Queen of Flow: Season 2,1,The Queen of Flow,2022-01-04,2021-11-28
Films (Non-English),3,13300000,null,2,Through My Window,2022-02-22,2022-02-20
Films (English),4,13430000,null,6,Vivo,2022-01-04,2021-08-29
Films (English),2,16820000,null,2,Fear Street Part 2: 1978,2022-01-04,2021-07-18
TV (English),1,23570000,Hit & Run: Season 1,4,Hit & Run,2022-01-04,2021-08-08
TV (English),5,18840000,Virgin River: Season 3,6,Virgin River,2022-01-04,2021-08-08
Films (English),5,6570000,null,4,Fear Street Part 1: 1994,2022-01-04,2021-08-01
TV (English),1,26000000,Titans: Season 3,2,Titans,2022-01-04,2021-12-12
Films (Non-English),1,5410000,null,2,JJ+E,2022-01-04,2021-09-12
Films (Non-English),1,16380000,null,2,Kingdom: Ashin of the North,2022-01-04,2021-07-25
TV (English),2,49180000,The Witcher: Season 1,2,The Witcher,2022-01-04,2021-12-19
Films (Non-English),2,26730000,null,1,Spoiled Brats,2022-01-04,2021-12-05
Films (Non-English),2,1800000,null,8,Kung Fu Hustle,2022-01-04,2021-09-19
Films (Non-English),2,4790000,null,4,In for a Murder,2022-01-04,2021-10-31
Films (English),2,12870000,null,7,Fast & Furious Presents: Hobbs & Shaw,2022-01-04,2022-01-02
Films (Non-English),3,1800000,null,10,Beauty and the Beast,2022-01-04,2021-10-17
TV (English),3,72870000,Sex Education: Season 3,1,Sex Education,2022-01-04,2021-10-03
TV (English),3,29760000,Sweet Magnolias: Season 2,3,Sweet Magnolias,2022-02-22,2022-02-20
Films (Non-English),2,8840000,null,5,Sooryavanshi,2022-01-04,2021-12-12
Films (English),5,9380000,null,5,Vivo,2022-01-04,2021-09-05
Films (Non-English),3,2240000,null,7,Grudge,2022-01-04,2021-10-24
TV (English),1,30030000,Tiger King 2,2,Tiger King,2022-01-04,2021-11-21
TV (English),3,19010000,Lost in Space: Season 3,4,Lost in Space,2022-01-04,2021-12-19
Films (English),3,10550000,null,5,Home Team,2022-02-15,2022-02-13
TV (Non-English),4,96360000,Café con aroma de mujer: Season 1,1,Café con aroma de mujer,2022-01-25,2022-01-23
TV (Non-English),5,13000000,The Five Juanas: Season 1,5,The Five Juanas,2022-01-04,2021-11-07
TV (English),2,168460000,The Witcher: Season 2,1,The Witcher,2022-01-04,2021-12-26
TV (English),3,19930000,Ozark: Season 1,7,Ozark,2022-02-08,2022-02-06
TV (English),2,13770000,Virgin River: Season 2,10,Virgin River,2022-01-04,2021-07-25
Films (English),1,6480000,null,7,Worth,2022-01-04,2021-09-05
TV (English),1,14420000,Queer Eye: Season 6,7,Queer Eye,2022-01-04,2022-01-02
TV (Non-English),12,21200000,Squid Game: Season 1,4,Squid Game,2022-01-04,2021-12-05
TV (Non-English),2,19170000,D.P.: Season 1,3,D.P.,2022-01-04,2021-09-05
TV (Non-English),7,13180000,Carinha de Anjo: Season 1,5,Carinha de Anjo,2022-01-04,2021-11-21
Films (Non-English),1,9210000,null,5,Bartkowiak,2022-01-04,2021-08-01
Films (Non-English),1,1800000,null,9,Violet Evergarden the Movie,2022-01-04,2021-10-17
TV (English),3,16310000,In From the Cold: Season 1,10,In From the Cold,2022-02-15,2022-02-13
Films (English),1,13860000,null,5,The Loud House Movie,2022-01-04,2021-08-22
Films (English),3,8510000,null,6,The Royal Treatment,2022-02-08,2022-02-06
TV (English),1,9140000,CoComelon: Season 1,10,CoComelon,2022-01-04,2021-09-05
Films (English),4,17670000,null,2,The Tinder Swindler,2022-03-01,2022-02-27
Films (Non-English),2,6920000,null,2,Photocopier,2022-01-25,2022-01-23
Films (Non-English),2,2860000,null,7,A Woman With No Filter,2022-03-09,2022-03-06
Films (Non-English),4,2390000,null,10,Sooryavanshi,2022-01-04,2021-12-26
Films (English),3,8550000,null,7,Hotel Transylvania 3: Summer Vacation,2022-01-04,2021-08-22
TV (Non-English),2,123170000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-09-12
Films (English),1,6950000,null,10,First Kill,2022-01-04,2021-09-19
TV (Non-English),8,11910000,Our Beloved Summer: Season 1,9,Our Beloved Summer,2022-02-15,2022-02-13
Films (English),1,7860000,null,9,Riverdance: The Animated Adventure,2022-01-18,2022-01-16
TV (Non-English),9,55010000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-12-19
Films (Non-English),2,23890000,null,1,The Last Mercenary,2022-01-04,2021-08-08
Films (English),1,49640000,null,1,Army of Thieves,2022-01-04,2021-10-31
Films (English),1,13300000,null,7,The Witcher: Nightmare of the Wolf,2022-01-04,2021-08-29
TV (English),2,31940000,Manifest: Season 1,4,Manifest,2022-01-04,2021-07-11
TV (English),3,36270000,Archive 81: Season 1,3,Archive 81,2022-02-01,2022-01-30
TV (Non-English),1,17150000,Single’s Inferno: Season 1,8,Single’s Inferno,2022-01-04,2022-01-02
TV (English),2,23660000,Selling Sunset: Season 4,3,Selling Sunset,2022-01-04,2021-12-05
Films (Non-English),5,2000000,null,6,The Last Mercenary,2022-01-04,2021-08-29
TV (English),1,17040000,Top Secret UFO Projects: Declassified: Season 1,7,Top Secret UFO Projects: Declassified,2022-01-04,2021-08-08
TV (Non-English),1,9220000,House of Secrets: The Burari Deaths: Limited Series,10,House of Secrets: The Burari Deaths,2022-01-04,2021-10-17
TV (Non-English),3,98850000,Café con aroma de mujer: Season 1,1,Café con aroma de mujer,2022-01-18,2022-01-16
TV (English),2,50190000,Never Have I Ever: Season 2,1,Never Have I Ever,2022-01-04,2021-07-25
TV (Non-English),5,10980000,Hospital Playlist: Season 2,4,Hospital Playlist,2022-01-04,2021-08-29
TV (Non-English),2,18070000,AlRawabi School for Girls: Limited Series,2,AlRawabi School for Girls,2022-01-04,2021-08-22
Films (Non-English),5,2280000,null,5,Rurouni Kenshin: The Beginning,2022-01-04,2021-08-29
Films (English),2,25550000,null,2,A Castle For Christmas,2022-01-04,2021-12-05
Films (English),1,9650000,null,7,Firedrake the Silver Dragon,2022-01-04,2021-09-19
TV (Non-English),2,47830000,The Silent Sea: Season 1,1,The Silent Sea,2022-01-04,2022-01-02
Films (Non-English),1,1830000,null,8,Luccas Neto em: O Mapa do Tesouro 2,2022-01-04,2021-10-10
TV (English),2,25390000,Big Mouth: Season 5,5,Big Mouth,2022-01-04,2021-11-14
Films (Non-English),3,5620000,null,4,Love Tactics,2022-03-01,2022-02-27
TV (English),3,15990000,Grey's Anatomy: Season 17,10,Grey's Anatomy,2022-01-04,2021-10-17
TV (English),1,34170000,Arcane: Season 1,2,Arcane,2022-01-04,2021-11-14
TV (Non-English),4,16310000,Alice in Borderland: Season 1,6,Alice in Borderland,2022-01-04,2021-10-17
Films (Non-English),1,11950000,null,2,The Whole Truth,2022-01-04,2021-12-05
TV (Non-English),4,10340000,Hospital Playlist: Season 2,6,Hospital Playlist,2022-01-04,2021-08-22
TV (Non-English),3,571760000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-10-03
Films (English),3,9100000,null,9,Fear Street Part 2: 1978,2022-01-04,2021-07-25
TV (Non-English),1,15960000,Feria: The Darkest Light: Season 1,7,Feria: The Darkest Light,2022-02-08,2022-02-06
TV (Non-English),2,28740000,I Am Georgina: Season 1,4,I Am Georgina,2022-02-08,2022-02-06
Films (English),3,14180000,null,6,Spider-Man: Homecoming,2022-01-04,2022-01-02
Films (Non-English),6,1400000,null,10,Vicky and Her Mystery,2022-02-01,2022-01-30
TV (English),2,25170000,Emily in Paris: Season 1,6,Emily in Paris,2022-01-04,2022-01-02
TV (Non-English),3,19710000,The Silent Sea: Season 1,5,The Silent Sea,2022-01-11,2022-01-09
Films (English),2,17010000,null,3,Night Teeth,2022-01-04,2021-10-31
TV (Non-English),9,42790000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-11-14
TV (English),1,13930000,Car Masters: Rust to Riches: Season 3,10,Car Masters: Rust to Riches,2022-01-04,2021-08-08
Films (Non-English),2,21050000,null,1,Major Grom: Plague Doctor,2022-01-04,2021-07-18
Films (Non-English),1,11380000,null,4,The Swarm,2022-01-04,2021-08-08
TV (English),1,20920000,Lost in Space: Season 1,4,Lost in Space,2022-01-04,2021-12-05
Films (Non-English),1,3260000,null,9,Escape From Mogadishu,2022-01-04,2021-12-19
Films (English),2,19360000,null,5,A Boy Called Christmas,2022-01-04,2021-12-05
Films (English),2,11140000,null,7,Hypnotic,2022-01-04,2021-11-07
TV (Non-English),2,11010000,Sintonia: Season 2,7,Sintonia,2022-01-04,2021-11-07
Films (Non-English),1,2100000,null,8,Earwig and the Witch,2022-01-04,2021-11-21
TV (Non-English),4,14120000,The King's Affection: Season 1,2,The King's Affection,2022-01-04,2021-11-14
Films (English),1,15260000,null,3,Wish Dragon,2022-01-04,2021-07-04
Films (English),3,10990000,null,9,The Christmas Chronicles: Part Two,2022-01-04,2021-12-26
TV (Non-English),2,14410000,Money Heist: Part 3,6,Money Heist,2022-01-04,2021-09-12
TV (Non-English),3,22950000,Dark Desire: Season 2,4,Dark Desire,2022-02-22,2022-02-20
TV (Non-English),3,9130000,Love Is Blind: Brazil: Season 1,9,Love Is Blind: Brazil,2022-01-04,2021-10-31
Films (Non-English),8,1780000,null,6,Blood Red Sky,2022-01-04,2021-09-12
Films (Non-English),2,4820000,null,5,Parallel Mothers,2022-03-01,2022-02-27
Films (Non-English),3,2510000,null,9,My Best Friend Anne Frank,2022-02-22,2022-02-20
TV (Non-English),12,11050000,"Yo soy Betty, la fea: Season 1",10,"Yo soy Betty, la fea",2022-02-15,2022-02-13
Films (English),1,30040000,null,1,Intrusion,2022-01-04,2021-09-26
Films (Non-English),3,2680000,null,6,"My Brother, My Sister",2022-01-04,2021-10-24
Films (Non-English),2,1190000,null,8,The Four of Us,2022-01-04,2021-10-31
Films (Non-English),1,1180000,null,10,The Medium,2022-02-08,2022-02-06
Films (English),1,7520000,null,8,Pokémon the Movie: Secrets of the Jungle,2022-01-04,2021-10-10
Films (Non-English),2,4890000,null,7,Into the Wind,2022-02-22,2022-02-20
TV (Non-English),1,8530000,Hospital Playlist: Season 2,8,Hospital Playlist,2022-01-04,2021-07-18
Films (English),1,8590000,null,7,The Kissing Booth,2022-01-04,2021-08-15
TV (Non-English),1,6950000,The King's Affection: Season 1,10,The King's Affection,2022-01-04,2021-10-24
Films (Non-English),3,2330000,null,4,Prey,2022-01-04,2021-09-26
Films (Non-English),2,4020000,null,6,Lulli,2022-01-11,2022-01-09
TV (Non-English),10,11730000,"Yo soy Betty, la fea: Season 1",7,"Yo soy Betty, la fea",2022-02-01,2022-01-30
TV (Non-English),2,84530000,My Name: Season 1,2,My Name,2022-01-04,2021-10-24
TV (English),2,35230000,Ozark: Season 1,4,Ozark,2022-02-01,2022-01-30
